clave,pregunta,modelo,rank,documento,pagina,chunk_index,semantic_similarity,texto
umbral_8_por_ciento,¿Qué ocurre cuando un barrio alcanza o supera el 8% de viviendas de uso turístico?,mistral:7b,3,Informe de Impacto de la Vivienda Turística,42,1,0.7379602193832397,"VIVIENDAS PRINCIP ALES Por otro lado, una de las cuestiones que se pone de manifiesto en los diferentes estudios que se han realizado hasta la fecha en la ciudad de Málaga sobre la relación de las viviendas de uso turístico y las viviendas vacías, es que a medida que ha ido creciendo el parque de viviendas de uso turístico ha ido decreciendo el parque de viviendas deshabitadas. Es decir, las viviendas que estaban sin uso se han ido incorporando al mercado de vivienda turística que ha utilizado gran parte de estos inmuebles para su expansión. Y así, en el informe “Análisis, estudio y actualización del Mapa de Precios de Referencia de Alquiler Residencial en el Término Municipal de Málaga” elaborado por el Instituto Municipal de la Vivienda de Málaga en Octubre de 2023, se señalaba la relación d e la vivienda con finalidad turística y la vivienda deshabitada en el incremento de los precios de alquiler."
umbral_8_por_ciento,¿Qué ocurre cuando un barrio alcanza o supera el 8% de viviendas de uso turístico?,mistral:7b,4,Informe de Impacto de la Vivienda Turística,39,0,0.757283091545105,"DISTRITO CENTRO LOS QUE ACUMULAN UN 65% DE LAS MISMAS El fenómeno de las viviendas de uso turístico ha supuesto un importante cambio en el modelo de desarrollo e implantación de los alojamientos turísticos en las ciudades, y así queda reflejado igualmente en la ciudad de Málaga, de tal forma que esta modalidad de alojamiento se sitúa en el 73 % del número total de plazas turísticas ofertadas en la ciudad, muy por encima de los apartamentos turísticos, que ofertan el 8 % de las plazas, o de los alojamientos hoteleros que ofertan el 18 % de las plazas totales de alojamientos existentes. Por tanto, dicha modalidad de alojamiento, a nivel cuantitativo, es la que tiene un mayor impacto sobre la ciudad de Málaga, superando a la suma del resto de modalidades de alojamiento, y sumando casi tres cuartas partes del total de plazas ofertadas. Además, de dichas plazas ofertadas, casi el 65% de las mismas se sitúan en el Distrito Centro, y más del 90% entre los Distritos Centro, Este, Cruz de Humilladero y Ctra. de Cádiz, lo que pone de manifiesto que se trata de un fenómeno que se concentra sólo en ciertas zonas de la ciudad, y que por tanto son esos barrios los que soportan de forma clara las consecuencias del desarrollo de este reciente modelo de alojamiento turístico."
impacto_residencial,¿Qué impacto tienen las VUT sobre la vivienda residencial en Málaga?,mistral:7b,1,Memoria modificación PGOU VUT,6,1,0.7377966642379761,mayor presión turística residencial pierden mayor número de person as y hogares o crecen en menor número de estos. • Los precios de alquiler son más altos en los barrios que soportan una mayor presencia de VUT. • En los ámbitos más tensionados se han superado los niveles de VUT existentes en el periodo previo a la pandemia del Covid-19. • La reducción del parque de viviendas vacías hace que las viviendas de uso turístico se implanten en el parque de viviendas principales. • Incidencia en el acceso a la vivienda de los vecinos de las áreas estadísticas que soportan un mayor número de viviendas de uso turístico.
impacto_residencial,¿Qué impacto tienen las VUT sobre la vivienda residencial en Málaga?,mistral:7b,2,Informe de Impacto de la Vivienda Turística,35,0,0.7720469236373901,"3.2.3 RÉGIMEN DE TENENCIA Y ESFUERZO EN EL ACCESO A LA VIVIENDA A continuación, se muestra la proporción del régimen de tenencia de los hogares en alquiler VP ALQ, y el esfuerzo familiar ESF que supone, extractado del Plan Municipal de Vivienda y Suelo PMVS 2023-2027. Se muestra, además la evolución de los precios de alquiler privado de vivienda colectiva por distritos según el índice de precios de alquiler del TM Málaga, IPRA, también elaborado por el IMV Málaga. Las zonas donde el incremento del IPRA es mayor se corresponden con áreas de bajo porcentaje de hogares en régimen de alquiler, pero las zonas donde este acceso a la vivienda se concentra, como Centro Histórico o La Trinidad, el crecimiento de los precios se acerca y supera incluso el 40%. AAEE VP ALQ ALQ % ESF % IPRA 15 IPRA 23 ▲IPRA %"
impacto_residencial,¿Qué impacto tienen las VUT sobre la vivienda residencial en Málaga?,mistral:7b,3,Acuerdo Pleno aprobación definitiva,11,2,0.7175504565238953,"Los estudios realizados y el análisis comparado de indicadores, arrojaron las siguientes conclusiones: − Las viviendas de uso turístico (VUT) suponen casi el 75% de las plazas de alojamiento turístico ofertadas y se concentran en cuatro distritos de la ciudad siendo los barrios del distrito centro los que acumulan un 65% de las mismas. − Entre los años 2016 y 2024 las VUT se han incrementado sobre todo en aquellos ámbitos analizados que presentan mayor presión turística residencial. − Las viviendas de uso turístico tienen una rentabilidad económica sensiblemente superior que el alquiler convencional. − Los barrios con mayor presión turística resi dencial pierden mayor número de personas y hogares o crecen en menor número de estos. − Los precios de alquiler son más altos en los barrios que soportan una mayor presencia de VUT. − En los ámbitos más tensionados se han superado los niveles de VUT existentes en el periodo previo a la pandemia del Covid-19. − La reducción del parque de viviendas vacías hace que las viviendas de uso turístico se implanten en el parque de viviendas principales. − Incidencia en el acceso a la vivienda de los vecinos de las áreas estadísticas que soportan un mayor número de viviendas de uso turístico."
impacto_residencial,¿Qué impacto tienen las VUT sobre la vivienda residencial en Málaga?,mistral:7b,4,Informe de Impacto de la Vivienda Turística,42,1,0.7669980525970459,"VIVIENDAS PRINCIP ALES Por otro lado, una de las cuestiones que se pone de manifiesto en los diferentes estudios que se han realizado hasta la fecha en la ciudad de Málaga sobre la relación de las viviendas de uso turístico y las viviendas vacías, es que a medida que ha ido creciendo el parque de viviendas de uso turístico ha ido decreciendo el parque de viviendas deshabitadas. Es decir, las viviendas que estaban sin uso se han ido incorporando al mercado de vivienda turística que ha utilizado gran parte de estos inmuebles para su expansión. Y así, en el informe “Análisis, estudio y actualización del Mapa de Precios de Referencia de Alquiler Residencial en el Término Municipal de Málaga” elaborado por el Instituto Municipal de la Vivienda de Málaga en Octubre de 2023, se señalaba la relación d e la vivienda con finalidad turística y la vivienda deshabitada en el incremento de los precios de alquiler."
requisitos_vut,¿Qué requisitos debe cumplir una vivienda de uso turístico?,mistral:7b,1,Decreto 28/2016,5,4,0.8262088298797607,"Articulo 6. Requisitos y servicios comunes. Las viviendas con fines turísticos deberán cumplir con los siguientes requisitos: a) Disponer de licencia de ocupación, y cumplir en todo momento con las condiciones técnicas y de calidad exigibles a las viviendas. b) Las habitaciones tendrán ventilación directa al exterior o a patios y algún sistema de oscurecimiento de las ventanas. Este requisito no será exigible cuando la vivienda o el edificio en el que se integra esté catalogado como Bien de Interés Cultural y el nivel de protección impida realizar algún tipo de obra, modificación o intervención que sea necesaria para cumplir con el requisito. c) Estar suficientemente amuebladas y dotadas de los aparatos y enseres necesarios para su uso inmediato y acorde al número de plazas de que dispongan."
requisitos_vut,¿Qué requisitos debe cumplir una vivienda de uso turístico?,mistral:7b,2,Informe jurídico sobre Instrucción 1/2024,9,1,0.8212209939956665,"III – CONCLUSIÓN. Para inscribir una vivienda de uso turístico en el Registro de Turismo de Andalucía la persona o entidad interesada debe manifestar en su declaración responsable que la vivienda resulta compatible con la normativa urbanística del PGOU 2011 de uso residencial y de uso hospedaje. A tal efecto, los requisitos urbanísticos que debe cumplir la vivienda para poder ser inscrita como vivienda de uso turístico son los siguientes:"
requisitos_vut,¿Qué requisitos debe cumplir una vivienda de uso turístico?,mistral:7b,3,Informe jurídico sobre Instrucción 1/2024,4,3,0.8063406348228455,"1. El alojamiento en viviendas de uso turístico será considerado como un servicio turístico y deberá cumplir con las prescripciones de la Ley 13/2011, de 23 de diciembre y con lo establecido en el presente Decreto. • En la antigua redacción se denominaban “viviendas con fines turísticos”."
requisitos_vut,¿Qué requisitos debe cumplir una vivienda de uso turístico?,mistral:7b,4,Decreto 31/2024,7,3,0.8211040496826172,"2. Asimismo, las viviendas de uso turístico estarán sometidas a los requerimientos de la normativa turística, civil, mercantil y urbanística emanados de la Unión Europea, Administración del Estado, de la Comunidad Autónoma de Andalucía y de los entes locales en el marco de sus respectivas competencias. En particular, los Ayuntamientos, por razón imperiosa de interés general, podrán establecer limitaciones proporcionadas a dicha razón, en lo que respecta al número máximo de viviendas de uso turístico por edificio, sector, ámbito, periodos, área o zona. Dichas limitaciones deberán obedecer a criterios claros, inequívocos y objetivos, a los que se haya dado debida publicidad con anterioridad a su aplicación."
decreto28_regulacion,¿Qué regula el Decreto 28/2016 sobre viviendas de uso turístico?,mistral:7b,1,Decreto 28/2016,4,2,0.8282901048660278,"1. El alojamiento en viviendas con fines turísticos será considerado como un servicio turístico y deberá cumplir con las prescripciones de la Ley 13/2011, de 23 de diciembre y con lo establecido en el presente Decreto."
decreto28_regulacion,¿Qué regula el Decreto 28/2016 sobre viviendas de uso turístico?,mistral:7b,2,Decreto 28/2016,1,1,0.8039677739143372,"Con la última modificación realizada a la Ley 29/1994, de 24 de noviembre, de Arrendamientos Urbanos (en adelante LAU), donde encontraban acomodo los alquileres de vivienda por temporada por la Ley 4/2013, de 4 de junio, de medidas de flexibilización y fomento del mercado de alquiler de viviendas, queda excluido de su ámbito de aplicación “la cesión temporal de uso de la totalidad de una vivienda amueblada y equipada en condiciones de uso inmediato, comercializada o promocionada en canales de oferta turística y realizada con finalidad lucrativa, cuando esté sometida a un régimen específico, derivando de su normativa sectorial”."
decreto28_regulacion,¿Qué regula el Decreto 28/2016 sobre viviendas de uso turístico?,mistral:7b,3,Decreto 28/2016,3,0,0.8235783576965332,"utilizar las denominaciones reconocidas internacionalmente para este tipo de alojamiento. Se establece la obligatoriedad de comunicar a la Administración turística la existencia de dicha vivienda y de inscribirse de oficio en el Registro de Turismo de Andalucía. Por otra parte, se procede a la modificación del Decreto 194/2010, de 20 de abril, de establecimientos de apartamentos turísticos, figura diferente de las viviendas con fines turísticos. Con esta modificación, e n aras de garantizar la coherencia regulatoria de la normativa, a través de una correcta interpretación sistemática de la misma, se pretenden aclarar los supuestos en los que se permite que los establecimientos de apartamentos turísticos se constituyan en régimen de propiedad horizontal o figuras afines. En este sentido, se pretende compatibilizar lo establecido en el artículo 42.1 de la Ley 13/2011, de 23 de diciembre, que exige una categoría mínima de tres llaves, con lo señalado en el artículo 44.3.b) de la misma, que permite la existencia de establecimientos que ocupen partes no independientes de edificios, por lo que en su practica totalidad están divididos horizontalmente de manera necesaria."
decreto28_regulacion,¿Qué regula el Decreto 28/2016 sobre viviendas de uso turístico?,mistral:7b,4,Decreto 28/2016,4,1,0.8035692572593689,"2. Quedan excluidas del ámbito de aplicación de la presente norma: a) Las viviendas que, por motivos vacacionales o turísticos, se cedan, sin contraprestación económica. b) Las viviendas contratadas por tiempo superior a dos meses computados de forma continuada por una misma persona usuaria. c) Las viviendas situadas en el medio rural, que, en caso de que se destinen a alojamiento turístico, se regularán por lo establecido en el artículo 48 de la Ley 13/2011, de 23 de diciembre y por el Decreto 20/2002, de 29 de enero, de Turismo en el Medio Rural y Turismo Activo. d) Los conjuntos formados por tres o más viviendas de una misma persona titular o explotadora, que estén ubicadas en un mismo inmueble o grupo de inmuebles contiguos o no, siéndoles de aplicación la normativa sobre los establecimientos de apartamentos turísticos, regulados en el Decreto 194/2010, de 20 de abril, de establecimientos de apartamentos turísticos."
limite_ayuntamiento,¿Puede el Ayuntamiento de Málaga limitar la implantación de nuevas VUT?,mistral:7b,1,Acuerdo Pleno aprobación definitiva,13,3,0.7408462166786194,"2. De conformidad con la limitación expuesta, sólo en aquellos barrios donde no se haya agotado el número máximo de viviendas de uso turístico establecidas, podrán otorgarse nuevas autorizaciones VUT AUT (ver apartado 3. Definiciones), hasta alcanzar el límite de VUT MAX previsto. Por el contrario, en aquellos barrios donde se haya llegado al límite de VUT MAX, o este haya sido sobrepasado, no podrá otorgarse ninguna autorización nueva para esta modalidad de alojamiento turístico. A efectos de lo anterior, se delimitan las siguientes zonas diferenciadas en la ciudad de Málaga en función del porcentaje de VUT REG (ver apartado 3. Definiciones), en el RTA: Carlos López Jiménez Firmado 02/06/2025 11:24:22"
limite_ayuntamiento,¿Puede el Ayuntamiento de Málaga limitar la implantación de nuevas VUT?,mistral:7b,2,Instrucción 1/2024,5,0,0.7022688984870911,"Paseo de Antonio Machado, 12 29002 Málaga TLF. 010 Y 951.926.010 CIF_ P - 7990002 - C www.malaga.eu • Antes sólo se decía: “…se someterán igualmente a la normativa sectorial que, en su caso le sea de aplicación”, pero ahora, menciona expresamente el sometimiento a la normativa urbanística de los entes locales. «Artículo 3 Definiciones"
limite_ayuntamiento,¿Puede el Ayuntamiento de Málaga limitar la implantación de nuevas VUT?,mistral:7b,3,Acuerdo Pleno aprobación definitiva,20,3,0.7197753190994263,"Por otro lado, dichos porcentajes irán cambiando por lo que una regulación fragmentada podría complejizar la gestión posterior. - Con respecto a eliminar mediante un Plan Especial el exceso del VUT y el establecimiento del carácter retroactivo de las zonas saturadas nos remitimos a lo expuesto en el punto anterior relativo a las alegaciones del IEUS. - La propuesta de considerar Málaga como una gran zona saturada en su conjunto no es objeto del presente expediente. Parece oportuno recordar sin embargo, que la aprobación del decreto 31/2024 de 29 de enero supone desde este ayuntamiento la aplicación inmediata del"
limite_ayuntamiento,¿Puede el Ayuntamiento de Málaga limitar la implantación de nuevas VUT?,mistral:7b,4,Informe jurídico sobre Instrucción 1/2024,1,2,0.7339094877243042,"1. Con fecha 30 de marzo de 2023, el Pleno del Excmo. Ayuntamiento de Málaga, en el punto 17 del orden del día, adoptó por unanimidad el siguiente acuerdo: “El Ayuntamiento de Málaga y el área de Urbanismo se comprometen a diseñar y poner en marcha un programa de inspección de viviendas de uso turístico que hagan aflorar el volumen actual de viviendas ilegales dedicadas a tal fin y posibles incumplimientos en la normativa actual (como el uso del espacio público para la instalación de cajas -llavero), dotado de las medidas sancionadoras pertinentes encaminadas al cumplimiento del marco regulador existente en esta materia.” En esa misma sesión, pero dentro del punto de urgencia 4º, “muestra su preocupación por el crecimiento del precio de la vivienda en la ciudad e insta al equipo de gobierno a actuar de una manera más eficaz y coherente para evitar la pérdida de población nacida y crecida en la ciudad”."
sancion_exacta,¿Cuál es la sanción económica exacta por alquilar una VUT sin licencia en Málaga?,mistral:7b,1,Instrucción 1/2024,1,0,0.6685584783554077,"Paseo de Antonio Machado, 12 29002 Málaga TLF. 010 Y 951.926.010 CIF_ P - 7990002 - C www.malaga.eu RESOLUCIÓN Asunto: Disponer el cumplimiento de las directrices recogidas en la Instrucción 1/2024 sobre aplicación de la normativa urbanística a las viviendas de uso turístico. Resultando: que, con fecha 10 de junio de 2024, se ha emitido informe jurídicopropuesta por el Servicio Jurídico Administrativo de Licencias y Declaraciones Responsables, con el visto bueno del Gerente de la GMU, del siguiente tenor literal:"
sancion_exacta,¿Cuál es la sanción económica exacta por alquilar una VUT sin licencia en Málaga?,mistral:7b,2,Acuerdo Pleno aprobación definitiva,20,3,0.602814793586731,"Por otro lado, dichos porcentajes irán cambiando por lo que una regulación fragmentada podría complejizar la gestión posterior. - Con respecto a eliminar mediante un Plan Especial el exceso del VUT y el establecimiento del carácter retroactivo de las zonas saturadas nos remitimos a lo expuesto en el punto anterior relativo a las alegaciones del IEUS. - La propuesta de considerar Málaga como una gran zona saturada en su conjunto no es objeto del presente expediente. Parece oportuno recordar sin embargo, que la aprobación del decreto 31/2024 de 29 de enero supone desde este ayuntamiento la aplicación inmediata del"
sancion_exacta,¿Cuál es la sanción económica exacta por alquilar una VUT sin licencia en Málaga?,mistral:7b,3,Informe jurídico sobre Instrucción 1/2024,9,0,0.6088283061981201,"Paseo de Antonio Machado, 12 29002 Málaga TLF. 010 Y 951.926.010 CIF_ P - 7990002 - C www.malaga.eu a la autenticidad y validez de la información o la documentación presentada , dicha autoridad competente podrá suspender la validez de la inscripción en el registro e incluso ordenar su retirada definitiva , siguiendo el procedimiento establecido en este artículo."
sancion_exacta,¿Cuál es la sanción económica exacta por alquilar una VUT sin licencia en Málaga?,mistral:7b,4,Acuerdo Pleno aprobación definitiva,46,1,0.6398069858551025,"4. El número máximo de viv iendas VUT MAX a autorizar en cada barrio será revisado por el Ayuntamiento de Málaga al año de la entrada en vigor de esta Modificación y, posteriormente, con una periodicidad máxima de cuatro años.” Todo ello, en base a lo dispuesto en los informes técn icos del Servicio de Planificación y Ordenación Urbanística de 28 de marzo de 2025 y de conformidad con arts. 75.1 de la Ley 7/2021 de 1 de diciembre, de Impulso para la Sostenibilidad del Territorio de Andalucía (LISTA) y arts. 102 y ss del Decreto 550/2022, de 29 de noviembre, por el que se aprueba el Reglamento General de la LISTA, en relación con artículo 127 de la Ley 7/85 de 2 de abril de Bases de Régimen Local."
